,time_exp,q_ref,q_meas,v_est,u_in,u_tot
0,0.0,-0.9991374015808105,-0.9999403953552246,0.0,2.538628101348877,2.538628101348877
1,0.004999999888241291,-0.9985140562057495,-0.9996036291122437,0.08076429923675782,2.9555134773254395,2.9555134773254395
2,0.009999999776482582,-0.9977222681045532,-0.9990872144699097,0.11879206522424969,3.159911632537842,3.159911632537842
3,0.014999999664723873,-0.9967619776725769,-0.9983779788017273,0.15723706375392407,3.203118324279785,3.203118324279785
4,0.019999999552965164,-0.9956331849098206,-0.9974747896194458,0.19562245763471522,3.127974510192871,3.127974510192871
5,0.02500000037252903,-0.994335949420929,-0.9963843822479248,0.23204089810236028,3.0224034786224365,3.0224034786224365
6,0.029999999329447746,-0.9928702712059021,-0.9951199889183044,0.266432780507976,2.9750940799713135,2.9750940799713135
7,0.03500000014901161,-0.9912394285202026,-0.9936928153038025,0.29879810485156233,2.9755263328552246,2.9755263328552246
8,0.03999999910593033,-0.989554762840271,-0.9921063780784607,0.3291964757820025,2.4992427825927734,2.4992427825927734
9,0.04500000178813934,-0.9878700375556946,-0.990388810634613,0.35077335867772674,1.6390457153320312,1.6390457153320312
10,0.05000000074505806,-0.9861853122711182,-0.9886019825935364,0.36001207925462525,0.8432263135910034,0.8432263135910034
11,0.054999999701976776,-0.9845005869865417,-0.9868059754371643,0.35804512584147913,0.33730706572532654,0.33730706572532654
12,0.05999999865889549,-0.9828158617019653,-0.9850404262542725,0.3495812657000624,0.16824816167354584,0.16824816167354584
13,0.06499999761581421,-0.9811311364173889,-0.9833179712295532,0.34040214977204714,0.2584589421749115,0.2584589421749115
14,0.07000000029802322,-0.9794464111328125,-0.9816343784332275,0.33402445234154304,0.4830246567726135,0.4830246567726135
15,0.07500000298023224,-0.9777616858482361,-0.9799755811691284,0.33080580130184933,0.7310979962348938,0.7310979962348938
16,0.07999999821186066,-0.9760769605636597,-0.978325605392456,0.3303885687596668,0.91860032081604,0.91860032081604
17,0.08500000089406967,-0.9743922352790833,-0.9766684174537659,0.33199789427951365,0.9857980608940125,0.9857980608940125
18,0.09000000357627869,-0.9727075099945068,-0.974999189376831,0.33438208023484234,0.9884152412414551,0.9884152412414551
19,0.0949999988079071,-0.9710228443145752,-0.9733176231384277,0.3371834987323535,0.9305883646011353,0.9305883646011353
20,0.10000000149011612,-0.9693381190299988,-0.9716280102729797,0.3383755917100178,0.8702829480171204,0.8702829480171204
