,time_exp,q_ref,q_meas,v_est,u_in,u_tot
0,0.0,-0.9991374015808105,-0.9999386668205261,0.0,2.5532240867614746,2.5532240867614746
1,0.004999999888241291,-0.9985140562057495,-0.9996016621589661,0.08159875482177688,2.9355416297912598,2.9355416297912598
2,0.009999999776482582,-0.9977222681045532,-0.9990828037261963,0.11909007460475544,3.1323773860931396,3.1323773860931396
3,0.014999999664723873,-0.9967619776725769,-0.9983699321746826,0.15819071972023072,3.137827157974243,3.137827157974243
4,0.019999999552965164,-0.9956331849098206,-0.9974655508995056,0.19586085342904225,3.077042579650879,3.077042579650879
5,0.02500000037252903,-0.994335949420929,-0.9963768124580383,0.2319216618053571,2.9933931827545166,2.9933931827545166
6,0.029999999329447746,-0.9928702712059021,-0.9951143860816956,0.265955912355565,2.9477968215942383,2.9477968215942383
7,0.03500000014901161,-0.9912394285202026,-0.9936867952346802,0.2985596514991091,2.9443295001983643,2.9443295001983643
8,0.03999999910593033,-0.989554762840271,-0.9920978546142578,0.3299712978037668,2.4380881786346436,2.4380881786346436
9,0.04500000178813934,-0.9878700375556946,-0.9903782606124878,0.3515481781876114,1.5761780738830566,1.5761780738830566
10,0.05000000074505806,-0.9861853122711182,-0.9885918498039246,0.3594755955662063,0.8066536784172058,0.8066536784172058
11,0.054999999701976776,-0.9845005869865417,-0.9868001937866211,0.35649536346899013,0.3384913504123688,0.3384913504123688
12,0.05999999865889549,-0.9828158617019653,-0.9850430488586426,0.3477334811031748,0.2408098727464676,0.2408098727464676
13,0.06499999761581421,-0.9811311364173889,-0.9833317995071411,0.33885238945347085,0.38756510615348816,0.38756510615348816
14,0.07000000029802322,-0.9794464111328125,-0.981657087802887,0.33283232061709433,0.6367678046226501,0.6367678046226501
15,0.07500000298023224,-0.9777616858482361,-0.9800004363059998,0.33086536743293166,0.8398136496543884,0.8398136496543884
16,0.07999999821186066,-0.9760769605636597,-0.9783431887626648,0.3319978556298738,0.9496153593063354,0.9496153593063354
17,0.08500000089406967,-0.9743922352790833,-0.9766758680343628,0.33456085523347967,0.9619815945625305,0.9619815945625305
18,0.09000000357627869,-0.9727075099945068,-0.9749966859817505,0.3365874130595866,0.9219398498535156,0.9219398498535156
19,0.0949999988079071,-0.9710228443145752,-0.9733088612556458,0.33801792446625034,0.8633474111557007,0.8633474111557007
20,0.10000000149011612,-0.9693381190299988,-0.9716176986694336,0.3381967383920833,0.8195879459381104,0.8195879459381104
21,0.10499999672174454,-0.9676533937454224,-0.9699276089668274,0.3376602966145844,0.8060230016708374,0.8060230016708374
22,0.10999999940395355,-0.965968668460846,-0.9682400822639465,0.33718345947902983,0.8102432489395142,0.8102432489395142
